id,name,smiles,C_4,H_4,N_4,O_4,C_7,H_7,N_7,O_7,C_prime,N_prime,O_prime
19,SHN,O=N(=O)OC[C@@H](ON(=O)=O)[C@@H](ON(=O)=O)[C@H](ON(=O)=O)[C@H](CON(=O)=O)ON(=O)=O,6,8,6,18,6,8,0,6,0,6,12
20,ETA,N#N=NCC(N=N#N)C(CN=N#N)N=N#N,4,6,12,0,4,6,0,0,0,12,0
21,ETNA,O=N(=O)NCC(NN(=O)=O)C(CNN(=O)=O)NN(=O)=O,4,10,8,8,4,10,4,0,0,4,8
22,EDNDN,O=N(=O)NCC(ON(=O)=O)C(CNN(=O)=O)ON(=O)=O,4,8,6,10,4,8,2,2,0,4,8
23,EDADN,N#N=NCC(ON(=O)=O)C(CN=N#N)ON(=O)=O,4,6,8,6,4,6,0,2,0,8,4
24,TNB-OH1,O=N(=O)c1cc(N(=O)=O)c(O)c(N(=O)=O)c1,6,3,3,7,0,3,0,1,6,3,6
25,TNB-OH3,O=N(=O)c1c(O)c(N(=O)=O)c(O)c(N(=O)=O)c1O,6,3,3,9,0,3,0,3,6,3,6
26,RDX 455-7,O=N(=O)N1CN(N(=O)=O)CN(N(=O)=O)C1,3,6,6,6,3,6,3,0,0,3,6
27,HMX 009,O=N(=O)N1CN(N(=O)=O)CN(N(=O)=O)CN(N(=O)=O)C1,4,8,8,8,4,8,4,0,0,4,8
28,DAAFox RDD-16F-055-051,Nc1nonc1/N=N(=O)/c2nonc2N,4,4,8,3,0,4,2,3,4,6,0
29,HNB,O=N(=O)c1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,6,0,6,12,0,0,0,0,6,6,12
30,PNB,O=N(=O)c1cc(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,6,1,5,10,0,1,0,0,6,5,10
31,TetNB,O=N(=O)c1cc(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1,6,2,4,8,0,2,0,0,6,4,8
32,TNB,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],6,3,3,6,0,3,0,0,6,3,6
33,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],6,3,3,7,0,3,0,1,6,3,6
34,PNA,C1(=C(C(=C(C(=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N,6,2,6,10,0,2,0,0,6,6,10
35,TetNA,C1=C(C(=C(C(=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N)[N+](=O)[O-],6,3,5,8,0,3,0,0,6,5,8
36,TNA,C1=C(C=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],6,4,4,6,0,4,0,0,6,4,6
37,DATB,C1=C(C(=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])N)[N+](=O)[O-],6,5,5,6,0,5,0,0,6,5,6
38,TATB,c1(c(c(c(c(c1[N+](=O)[O-])N)[N+](=O)[O-])N)[N+](=O)[O-])N,6,6,6,6,3,6,0,0,3,6,6
39,HNBP,O=N(=O)c2cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)c2,12,4,6,12,0,4,0,0,12,6,12
40,DIPAM,Nc2c(N(=O)=O)cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)c(N)c1N(=O)=O)c2N(=O)=O,12,6,8,12,0,6,0,0,12,8,12
41,CL-12,Nc2c(N(=O)=O)c(N(=O)=O)c(c1c(N(=O)=O)c(N(=O)=O)c(N)c(N(=O)=O)c1N(=O)=O)c(N(=O)=O)c2N(=O)=O,12,4,10,16,0,4,0,0,12,10,16
42,DNBF,O=N(=O)c2cc(N(=O)=O)c1non(=O)c1c2,6,2,4,6,0,2,0,1,6,4,5
43,ADNBF,C1=C(C2=NO[N+](=C2C(=C1[N+](=O)[O-])N)[O-])[N+](=O)[O-],6,3,5,6,0,3,0,1,6,5,5
44,CL-14,C1(=C(C2=NO[N+](=C2C(=C1[N+](=O)[O-])N)[O-])[N+](=O)[O-])N,6,4,6,6,0,4,0,1,6,6,5
45,CL-17,Nc1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c2non(=O)c12,6,2,6,8,0,2,0,1,6,6,7
46,BTF,C12=NO[N+](=C1C3=NO[N+](=C3C4=NO[N+](=C24)[O-])[O-])[O-],6,0,6,6,0,0,0,3,6,6,3
47,PNT,Cc1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,7,3,5,10,1,3,0,0,6,5,10
48,"2,3,4,5-TetNT",CC1=CC(=C(C(=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7,4,4,8,1,4,0,0,6,4,8
49,"2,3,4,6-TetNT",Cc1c(N(=O)=O)cc(N(=O)=O)c(N(=O)=O)c1N(=O)=O,7,4,4,8,1,4,0,0,6,4,8
50,"2,3,5,6-TetNT",Cc1c(N(=O)=O)c(N(=O)=O)cc(N(=O)=O)c1N(=O)=O,7,4,4,8,1,4,0,0,6,4,8
51,TNT,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7,5,3,6,1,5,0,0,6,3,6
52,"2,3,4-TNT",Cc1ccc(N(=O)=O)c(N(=O)=O)c1N(=O)=O,7,5,3,6,1,5,0,0,6,3,6
53,"3,4,5-TNT",Cc1cc(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1,7,5,3,6,1,5,0,0,6,3,6
54,TetN-o-Tol,CC1=C(C(=C(C(=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N,7,5,5,8,1,5,0,0,6,5,8
55,TetN-m-Tol,Cc1c(N(=O)=O)c(N)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,7,5,5,8,1,5,0,0,6,5,8
56,TetN-p-Tol,Cc1c(N(=O)=O)c(N(=O)=O)c(N)c(N(=O)=O)c1N(=O)=O,7,5,5,8,1,5,0,0,6,5,8
57,HNDPM,C1=C(C=C(C(=C1[N+](=O)[O-])CC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],13,6,6,12,1,6,0,0,12,6,12
58,Picryl azide,C1=C(C=C(C(=C1[N+](=O)[O-])N=[N+]=[N-])[N+](=O)[O-])[N+](=O)[O-],6,2,6,6,0,2,0,0,6,6,6
59,CL-16,N#N=Nc1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,6,0,8,10,0,0,0,0,6,8,10
60,DDNP,N#N=c1cc(N(=O)=O)cc(N(=O)=O)c1=O,6,2,4,5,0,2,0,0,6,4,5
61,Me-NO2-DDNP,Cc1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(=O)c1=N#N,7,3,5,7,1,3,0,0,6,5,7
62,Tetryl,CN(C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7,5,5,8,1,5,1,0,6,4,8
63,(MeNO2N)−22,Cc1c(N(C)N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,8,6,6,10,2,6,1,0,6,5,10
64,(MeNO2N)−23,Cc1c(N(=O)=O)c(N(C)N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,8,6,6,10,2,6,1,0,6,5,10
65,PNA,Nc1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,6,2,6,10,0,2,0,0,6,6,10
66,TNB,O=N(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1,6,3,3,6,0,3,0,0,6,3,6
67,Styphnic acid,C1=C(C(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])O)[N+](=O)[O-],6,3,3,8,0,3,0,1,6,3,7
68,"2,4,6-Trinitrophloro-glucinol",O=N(=O)c1c(O)c(N(=O)=O)c(O)c(N(=O)=O)c1O,6,3,3,9,0,3,0,3,6,3,6
69,TetNA,Nc1c(N(=O)=O)cc(N(=O)=O)c(N(=O)=O)c1N(=O)=O,6,3,5,8,0,3,0,0,6,5,8
70,"2,4-Dinitroresorcinol",C1=CC(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])O,6,4,2,6,0,4,0,2,6,2,4
71,"4,6-Dinitroresorcinol",C1=C(C(=CC(=C1[N+](=O)[O-])O)O)[N+](=O)[O-],6,4,2,6,0,4,0,2,6,2,4
72,TNA,C1=C(C=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],6,4,4,6,0,4,0,0,6,4,6
73,"2,4,6-Trinitro-3-aminophenol",C1=C(C(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])N)[N+](=O)[O-],6,4,4,7,0,4,0,1,6,4,6
74,"1- Hydroxyl-3,5-diamino-2,4,6-trinitrobenzene",Nc1c(N(=O)=O)c(N)c(N(=O)=O)c(O)c1N(=O)=O,6,5,5,7,1,5,0,1,5,5,6
75,"2,4,6-Trinitrobenzonitrile",C1=C(C=C(C(=C1[N+](=O)[O-])C#N)[N+](=O)[O-])[N+](=O)[O-],7,2,4,6,0,2,0,0,7,4,6
76,"2,4,6-Trinitrobenzoic acid",C1=C(C=C(C(=C1[N+](=O)[O-])C(=O)O)[N+](=O)[O-])[N+](=O)[O-],7,3,3,8,0,3,0,1,7,3,7
77,"2,4,6-Trinitroanisole",COC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7,5,3,7,1,5,0,1,6,3,6
78,"3-Methoxy-2,4,6-trinitroaniline",COc1c(N(=O)=O)cc(N(=O)=O)c(N)c1N(=O)=O,7,6,4,7,1,6,0,1,6,4,6
79,"1,3-Dimethoxy-2,4,6-trinitrobenzene",COc1c(N(=O)=O)cc(N(=O)=O)c(OC)c1N(=O)=O,8,7,3,8,2,7,0,2,6,3,6
80,"2’,2’,2’-Trinitroethyl-2,4,6-trinitrobenzoate",C1=C(C=C(C(=C1[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],9,4,6,14,2,4,0,1,7,6,13
81,"2’,2’,2’-Trinitroethyl-3,5-dinitrobenzoate",O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)c1cc(N(=O)=O)cc(N(=O)=O)c1,9,5,5,12,2,5,0,1,7,5,11
82,"2’,2’,2’-Trinitroethyl-3,5-dinitrosalicylate",O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)c1cc(N(=O)=O)cc(N(=O)=O)c1O,9,5,5,13,2,5,0,2,7,5,11
83,TNN,O=N(=O)c1ccc(N(=O)=O)c2c(N(=O)=O)ccc(N(=O)=O)c12,10,4,4,8,0,4,0,0,10,4,8
84,"2’,2’-Dinitropropyl-2,4,6- trinitrobenzoate",CC(COC(=O)c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)(N(=O)=O)N(=O)=O,10,7,5,12,3,7,0,1,7,5,11
85,HNBP 2,C1=C(C=C(C(=C1[N+](=O)[O-])C2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],12,4,6,12,0,4,0,0,12,6,12
86,"3-Hydroxy-2,2’,4,4’,6,6’-hexanitrobiphenyl",O=N(=O)c2cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)c(O)c1N(=O)=O)c(N(=O)=O)c2,12,4,6,13,0,4,0,1,12,6,12
87,Dipicric acid,O=N(=O)c2cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)c(O)c1N(=O)=O)c(N(=O)=O)c2O,12,4,6,14,0,4,0,2,12,6,12
88,HND,O=N(=O)c2cc(N(=O)=O)c(Nc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)c2,12,5,7,12,0,5,1,0,12,6,12
89,DIPAM,Nc2c(N(=O)=O)cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)c(N)c1N(=O)=O)c2N(=O)=O,12,6,8,12,0,6,0,0,12,8,12
90,"2,2’,4,4’,6-Pentanitro-benzophenone",O=C(c1ccc(N(=O)=O)cc1N(=O)=O)c2c(N(=O)=O)cc(N(=O)=O)cc2N(=O)=O,13,5,5,11,0,5,0,0,13,5,11
91,NONA,C1=C(C=C(C(=C1[N+](=O)[O-])C2=C(C(=C(C=C2[N+](=O)[O-])[N+](=O)[O-])C3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],18,5,9,18,0,5,0,0,18,9,18
92,"2,2’,2’’,4,4’’,5’,6,6’’-Octanitro-p-terphenyl",O=N(=O)c3cc(N(=O)=O)c(c2cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)cc2N(=O)=O)c(N(=O)=O)c3,18,6,8,16,0,6,0,0,18,8,16
93,"2,2’,2’’,4,4’’,6,6’,6’’-Octanitro-p-terphenyl",O=N(=O)c3cc(N(=O)=O)c(c2cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)c2)c(N(=O)=O)c3,18,6,8,16,0,6,0,0,18,8,16
94,Dodeca,O=N(=O)c4c(c1ccccc1)c(c2c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c2N(=O)=O)c(c3c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c3N(=O)=O)c(N(=O)=O)c4N(=O)=O,24,5,13,26,0,5,0,0,24,13,26
95,"Azo-bis-2,2’,4,4’,6,6’-hexanitrobiphenyl",O=N(=O)c4cc(N(=O)=O)c(c3c(N(=O)=O)cc(N(=O)=O)c(/N=N/c2c(N(=O)=O)cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O)c3N(=O)=O)c(N(=O)=O)c4,24,6,14,24,0,6,0,0,24,14,24
96,TNBAL,O=Cc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O,7,3,3,7,0,3,0,0,7,3,7
97,"2,4,6-Trinitrobenzaldoxime",C1=C(C=C(C(=C1[N+](=O)[O-])C=NO)[N+](=O)[O-])[N+](=O)[O-],7,4,4,7,0,4,0,1,7,4,6
98,1-Dinitromethyl-3-nitrobenzene,C1=CC(=CC(=C1)[N+](=O)[O-])C([N+](=O)[O-])[N+](=O)[O-],7,5,3,6,1,5,0,0,6,3,6
99,"2,4,6-Trinitrobenzylalcohol",C1=C(C=C(C(=C1[N+](=O)[O-])CO)[N+](=O)[O-])[N+](=O)[O-],7,5,3,7,1,5,0,1,6,3,6
100,Cresylite,CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O)[N+](=O)[O-],7,5,3,7,1,5,0,1,6,3,6
101,"1-(2,2,2-Trinitroethyl)-2,4,6-trinitrobenzene",O=N(=O)c1cc(N(=O)=O)c(CC(N(=O)=O)(N(=O)=O)N(=O)=O)c(N(=O)=O)c1,8,4,6,12,2,4,0,0,6,6,12
102,"2,4,6-Trinitrostyrene",C=CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8,5,3,6,0,5,0,0,8,3,6
103,"1-(2,2,2-Trinitroethyl)-2,4-dinitrobenzene",O=N(=O)c1ccc(CC(N(=O)=O)(N(=O)=O)N(=O)=O)c(N(=O)=O)c1,8,5,5,10,2,5,0,0,6,5,10
104,"3,5-Dimethyl-2,4,6-trinitrophenol",Cc1c(N(=O)=O)c(C)c(N(=O)=O)c(O)c1N(=O)=O,8,7,3,7,2,7,0,1,6,3,6
105,"1-(3,3,3-Trinitropropyl)-2,4,6-trinitrobenzene",CC1=C(C(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])C)[N+](=O)[O-],8,7,3,7,2,7,0,1,6,3,6
106,"1-(3,3,3-Trinitropropyl)-2,4-dinitrobenzene",O=N(=O)c1ccc(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)c(N(=O)=O)c1,9,7,5,10,3,7,0,0,6,5,10
107,"3-Methyl-2,2’,4,4’,6,6’-hexanitrobiphenyl",Cc2c(N(=O)=O)cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,13,6,6,12,1,6,0,0,12,6,12
108,"3-Methyl-2,2’,4,4’,6-pentanitrobiphenyl",Cc2c(N(=O)=O)cc(N(=O)=O)c(c1ccc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,13,7,5,10,1,7,0,0,12,5,10
109,JD-X,C1=C(C=C(C(=C1[N+](=O)[O-])C=CC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],14,6,6,12,0,6,0,0,14,6,12
110,"2,2’,4,4’,6,6’-Hexanitrobibenzyl",C1=C(C=C(C(=C1[N+](=O)[O-])CCC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],14,8,6,12,2,8,0,0,12,6,12
111,"3,3’-Dimethyl-2,2’,4,4’,6,6’-hexanitrobiphenyl",CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C2=C(C=C(C(=C2[N+](=O)[O-])C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],14,8,6,12,2,8,0,0,12,6,12
112,"2,4,6-Trinitropyridine-1-oxide",C1=C(C=C([N+](=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],5,2,4,7,0,2,0,0,5,4,7
113,"3,3’,5,5’-Tetranitro-2,2’-azopyridine",O=N(=O)c2cnc(/N=N/c1ncc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)c2,10,4,8,8,0,4,0,0,10,8,8
114,"2,6-Bis(picrylazo)-3,5-dinitropyridine",C1=C(C=C(C(=C1[N+](=O)[O-])N=NC2=C(C=C(C(=N2)N=NC3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],17,5,13,16,0,5,0,0,17,13,16
115,PYX,C1=C(C=C(C(=C1[N+](=O)[O-])NC2=C(C=C(C(=N2)NC3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],17,7,11,16,0,7,2,0,17,9,16
116,"3,5-Bis(picrylamino)-2,6-dinitropyridine",O=N(=O)c3cc(N(=O)=O)c(Nc2cc(Nc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)nc2N(=O)=O)c(N(=O)=O)c3,17,7,11,16,0,7,2,0,17,9,16
117,"2,6-Bis(picrylamino) pyridine",O=N(=O)c3cc(N(=O)=O)c(Nc2cccc(Nc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)n2)c(N(=O)=O)c3,17,9,9,12,0,9,2,0,17,7,12
118,Ex248,C1(=C(N=C(N1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3,1,5,6,0,1,1,0,3,4,6
119,"2,4-DNI",C1=C(NC(=N1)[N+](=O)[O-])[N+](=O)[O-],3,2,4,4,0,2,1,0,3,3,4
120,"4,4’,5,5’-Tetranitro biimidazole",c1(c(nc([nH]1)c2[nH]c(c(n2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],6,2,8,8,0,2,2,0,6,6,8
121,"2,4-Dinitro-1-picrylimidazole",C1=C(C=C(C(=C1[N+](=O)[O-])N2C(=CN=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],9,3,7,10,0,3,1,0,9,6,10
122,2-Nitro-1-picrylimidazole,O=N(=O)c2cc(N(=O)=O)c(n1ccnc1N(=O)=O)c(N(=O)=O)c2,9,4,6,8,0,4,1,0,9,5,8
123,4-Nitro-1-picrylimidazole,O=N(=O)c2cc(N(=O)=O)c(n1cnc(N(=O)=O)c1)c(N(=O)=O)c2,9,4,6,8,0,4,1,0,9,5,8
124,1-Picrylimidazole,O=N(=O)c2cc(N(=O)=O)c(n1ccnc1)c(N(=O)=O)c2,9,5,5,6,0,5,1,0,9,4,6
125,4-Nitro-1-picrylpyrazole,O=N(=O)c2cnn(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2,9,4,6,8,0,4,1,0,9,5,8
126,4-Nitro-3-picrylaminopyrazole,O=N(=O)c2cc(N(=O)=O)c(Nc1n[nH]cc1N(=O)=O)c(N(=O)=O)c2,9,5,7,8,0,5,1,0,9,6,8
127,"3,5-Dinitro-1-methyl-4-picrylpyrazole",Cn2nc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,10,5,7,10,1,5,0,0,9,7,10
128,"3,5-Dinitro-1-methyl-4-picrylaminopyrazole",Cn2nc(N(=O)=O)c(Nc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,10,6,8,10,1,6,1,0,9,7,10
129,"1,4-Dipicrylpyrazole",C1=C(C=C(C(=C1[N+](=O)[O-])C2=CN(N=C2)C3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],15,6,8,12,0,6,1,0,15,7,12
130,1a,O=N(=O)Nc1nonc1c3noc(c2nonc2NN(=O)=O)no3,6,2,10,8,0,2,2,4,6,8,4
131,,Nc2nn(c1nnn[nH]1)c(N)c2N(=O)=O,4,5,9,2,0,5,3,0,4,6,2
132,,Nc2nc(N)n1nc(N)c(N(=O)=O)c1n2,5,6,8,2,0,6,4,0,5,4,2
133,,O=N(=O)C(CNc1nnn[nH]1)(N(=O)=O)N(=O)=O,3,4,8,6,2,4,1,0,1,7,6
134,,CN1C(=NN=N1)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],4,6,8,6,3,6,1,0,1,7,6
135,,CON1C(=NN=N1)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],4,6,8,7,3,6,1,1,1,7,6
136,,CCOn1nnnc1NCC(N(=O)=O)(N(=O)=O)N(=O)=O,5,8,8,7,4,8,1,1,1,7,6
137,,O=N(=O)C(CNc1nnnn1CCn2nnnc2NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,8,10,16,12,6,10,3,0,2,13,12
138,,O=N(=O)C(CNc1nnnn1CCCn2nnnc2NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,9,12,16,12,7,12,2,0,2,14,12
139,,O=N(=O)C(CNc1nnnn1CCCCn2nnnc2NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,10,14,16,12,8,14,2,2,2,14,10
140,,O=N(=O)C(CNc1nnnn1OCCOn2nnnc2NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,8,10,16,14,6,10,3,2,2,13,12
141,Azol?   4,Nc2c1[nH]nnc1nnn2=O,3,3,7,1,0,3,3,1,3,4,0
142,Azol?   5,Nc2c1cn[nH]c1nnn2=O,4,4,6,1,0,4,3,1,4,3,0
143,,Nc2c1nc[nH]c1nnn2=O,4,4,6,1,0,4,3,1,4,3,0
144,,c4nnc(Nc1nonc1/N=N/c2nonc2Nc3nncnn3)nn4,8,4,16,2,0,4,2,2,8,14,0
145,,O=N(=N\c1nonc1Nc2nncnn2)/c3nonc3Nc4nncnn4,8,4,16,3,0,4,2,3,8,14,0
146,,Nc1n(=O)ncnn1=O,2,3,5,2,1,3,1,0,1,4,2
147,,c3nnc(N(c1nncnn1)c2nncnn2)nn3,6,3,13,0,0,3,1,0,6,12,0
148,,Nc2c1cn[nH]c1nnn2=O,4,4,6,1,0,4,3,1,4,3,0
149,,N#Cc2c(c1noc(N)n1)non2=O,5,2,6,3,0,2,1,2,5,5,1
150,,Nc3nc(c2c(c1nnn[nH]1)non2=O)no3,5,3,9,3,0,3,1,2,5,8,1
151,,O=N(=O)Nc3nc(c2c(c1nnn[nH]1)non2=O)no3,5,2,10,5,0,2,1,2,5,9,3
152,,N#N=Nc1nonc1c2nnnn2O,3,1,9,2,0,1,0,2,3,9,0
153,,Cn1nc(C#N)c(/C(N)=N/O)n1,5,6,6,1,1,6,1,1,4,5,0
154,2a,O=N(=O)Nc1nonc1c2noc(C(N(=O)=O)N(=O)=O)n2,5,2,8,8,1,2,1,2,4,7,6
155,,O=N(=O)/C1=N/N=C(N(=O)=O)\C1,3,2,4,4,1,2,0,0,2,4,4
156,PATO-NMP Pure,O=N(=O)c2cc(N(=O)=O)c(Nc1nnc[nH]1)c(N(=O)=O)c2,8,5,7,6,0,5,1,0,8,6,6
157,DNAN,COc1ccc(N(=O)=O)cc1N(=O)=O,7,6,2,5,1,6,0,1,6,2,4
158,"2,4-dinitroanisole (DNAN)",COc1ccc(N(=O)=O)cc1N(=O)=O,7,6,2,5,1,6,0,1,6,2,4
159,"2,2-dinitropropane-1,3diol (DNPD)",O=N(=O)C(CO)(CO)N(=O)=O,3,6,2,6,3,6,0,2,0,2,4
160,dinitropropanol,CC(CO)(N(=O)=O)N(=O)=O,3,6,2,5,3,6,0,1,0,2,4
161,"dinitropropylacrylate (assumed 2,2 dinitro)",C=CC(=O)OCC(C)(N(=O)=O)N(=O)=O,6,8,2,6,3,8,0,1,3,2,5
162,Klapotke 1,CNc1nn(=O)c(N(=O)=O)c(NC)c1N(=O)=O,6,8,6,5,3,8,0,0,3,6,5
163,Klapotke 2,CN(c1nn(=O)c(N(=O)=O)c(N(C)N(=O)=O)c1N(=O)=O)N(=O)=O,6,6,8,9,2,6,2,0,4,6,9
164,Klapotke 3,CN(C)c1nn(=O)c(N(=O)=O)c(N(C)C)c1N(=O)=O,8,12,6,5,4,12,2,0,4,4,5
165,Klapotke 4,O=N(=O)c1c(NCCO)nn(=O)c(N(=O)=O)c1NCCO,8,12,6,7,5,12,0,2,3,6,5
166,Klapotke 5,O=C(NN(=O)=O)OCC(COC(=O)NN(=O)=O)(N(=O)=O)C(COC(=O)NN(=O)=O)(COC(=O)NN(=O)=O)N(=O)=O,10,12,10,20,6,12,4,4,4,6,16
167,Klapotke 6,O=C(NN(=O)=O)OC1C(OC(=O)NN(=O)=O)C(N(=O)=O)C(OC(=O)NN(=O)=O)C(OC(=O)NN(=O)=O)C1N(=O)=O,10,10,10,20,6,10,4,4,4,6,16
168,Klapotke 7,O=C(NN(=O)=O)OC1OC2C(OC(=O)NN(=O)=O)OC3C(OC(=O)NN(=O)=O)OC1C23N(=O)=O,10,9,7,17,7,9,3,6,3,4,11
169,Klapotke 8,N#N=NCC(O)CN=N#N,3,6,6,1,3,6,0,1,0,6,0
170,Klapotke 9,N#N=NCC(CO)N=N#N,3,6,6,1,3,6,0,1,0,6,0
171,Klapotke 10,N#N=NCCOC(=O)CC(=O)OCCN=N#N,7,10,6,4,5,10,0,2,2,6,2
172,Klapotke 11,N#N=NCC(CN=N#N)OC(=O)CC(=O)OC(CN=N#N)CN=N#N,9,12,12,4,7,12,0,2,2,12,2
