id,name,formula,smiles,exp_dhf_kcal_mol,source,category
379,"1,2-Difluoroethene",C2H2F2,FC=CF,-73.867113,ATcT_v1.220,fluorinated
380,Sulfur oxide peroxide,O3S,O=S=[O+][O-],-7.217973,ATcT_v1.220,sulfur
381,N-Methylenemethanamine,C2H5N,C=NC,19.048757,ATcT_v1.220,small_CHNO
382,Peroxychlorous acid,HClO3,[O-][Cl+]OO,21.367113,ATcT_v1.220,chlorinated
383,"1,2,3,4-Hexatetraene",C6H6,C=C=C=C=CC,100.40631,ATcT_v1.220,hydrocarbon
384,"3,4-Hexadien-1-yne",C6H6,C#CC=C=CC,97.394837,ATcT_v1.220,hydrocarbon
385,Methanimine,CH3N,C=N,21.152008,ATcT_v1.220,small_CHNO
386,Ethanimine,C2H5N,CC=N,9.842256,ATcT_v1.220,small_CHNO
387,Disulfene oxide,OS2,O=S=S,-12.581262,ATcT_v1.220,sulfur
388,Pentatetraene,C5H4,C=C=C=C=C,107.217973,ATcT_v1.220,hydrocarbon
389,Disulfur,S2,S=S,30.513862,ATcT_v1.220,sulfur
390,Methylenediazeniumide,CH2N2,[CH-]=[N+]=N,88.121415,ATcT_v1.220,small_CHNO
391,"1,4-Pentadiyne",C5H4,C#CCC#C,108.652008,ATcT_v1.220,hydrocarbon
392,Sulfinyl hydride,H2OS,O=[SH2],-11.352772,ATcT_v1.220,sulfur
393,Formyl chloride,CHClO,O=CCl,-43.75717,ATcT_v1.220,chlorinated
394,Water dimer,H4O2,O.O,-119.280354,ATcT_v1.220,small_CHNO
395,"cis-1,3,5-Hexatriene",C6H8,C=CC=CC=C,40.774379,ATcT_v1.220,hydrocarbon
396,Nitrosyl chloride,ClNO,O=NCl,12.566922,ATcT_v1.220,chlorinated
397,Fluoroacetylene,C2HF,C#CF,25.260516,ATcT_v1.220,fluorinated
398,"2,4-Hexadiyne",C6H6,CC#CC#CC,88.508604,ATcT_v1.220,hydrocarbon
399,Azete,C3H3N,C1=CN=C1,110.277247,ATcT_v1.220,small_CHNO
400,Butatriene,C4H4,C=C=C=C,76.998088,ATcT_v1.220,hydrocarbon
401,Carbon monosulfide,CS,[C-]#[S+],67.449809,ATcT_v1.220,sulfur
402,Tetroxidane,H2O4,OOOO,-10.513862,ATcT_v1.220,small_CHNO
403,Biallenyl,C6H6,C=C=CC=C=C,95.363289,ATcT_v1.220,hydrocarbon
404,Methyl hydroperoxide,CH4O2,COO,-30.509082,ATcT_v1.220,small_CHNO
405,Ethyl hydroperoxide,C2H6O2,CCOO,-38.458413,ATcT_v1.220,small_CHNO
406,Water trimer,H6O3,O.O.O,-185.647706,ATcT_v1.220,small_CHNO
407,2-Cyclopropen-1-imine,C3H3N,N=c1cc1,94.216061,ATcT_v1.220,small_CHNO
408,"1,3,5-Hexatriyne",C6H2,C#CC#CC#C,164.196941,ATcT_v1.220,hydrocarbon
409,Ethynol,C2H2O,C#CO,22.184512,ATcT_v1.220,small_CHNO
410,Chloroallene,C3H3Cl,C=C=CCl,41.873805,ATcT_v1.220,chlorinated
411,Trimethylenecyclopropane,C6H6,C=C1C(=C)C1=C,105.497132,ATcT_v1.220,hydrocarbon
412,Propargylallene,C6H6,C#CCC=C=C,100.334608,ATcT_v1.220,hydrocarbon
413,Diazomethane,CH2N2,C=[N+]=[N-],63.902964,ATcT_v1.220,small_CHNO
414,"1,2-Pentadien-4-yne",C5H4,C#CC=C=C,104.366635,ATcT_v1.220,hydrocarbon
415,"1,2-Hexadien-4-yne",C6H6,C=C=CC#CC,95.00478,ATcT_v1.220,hydrocarbon
416,Fluoroethane,C2H5F,CCF,-65.035851,ATcT_v1.220,fluorinated
417,Difluorophosgene,CF2O,O=C(F)F,-144.942639,ATcT_v1.220,fluorinated
418,Nitrosamine,H2N2O,NN=O,18.403442,ATcT_v1.220,small_CHNO
419,[1.1.1]Propellane,C5H6,C1C23CC12C3,86.281071,ATcT_v1.220,hydrocarbon
420,Trifluoroethene,C2HF3,FC=C(F)F,-119.144359,ATcT_v1.220,fluorinated
421,Phenyl hydroperoxide,C6H6O2,OOc1ccccc1,-1.24283,ATcT_v1.220,small_CHNO
422,Diazene,H2N2,N=N,47.817878,ATcT_v1.220,small_CHNO
423,2-Fluoroethanol,C2H5FO,OCCF,-101.068356,ATcT_v1.220,fluorinated
424,Nitrogen hydride oxide,H3NO,[NH3+][O-],14.57935,ATcT_v1.220,small_CHNO
425,Hexafluorobenzene,C6F6,Fc1c(F)c(F)c(F)c(F)c1F,-226.469885,ATcT_v1.220,fluorinated
426,Sulfanylideneoxidaniumthiolate,OS2,S=[O+][S-],52.342256,ATcT_v1.220,sulfur
427,Cyanamide,CH2N2,N#CN,32.413958,ATcT_v1.220,small_CHNO
428,Cyanic acid,CHNO,N#CO,-3.587476,ATcT_v1.220,small_CHNO
429,3-Chloro-3-methyl-3H-diazirine,C2H3ClN2,CC1(Cl)N=N1,57.265774,ATcT_v1.220,chlorinated
430,Methanol dimer,C2H8O2,CO.CO,-100.143403,ATcT_v1.220,small_CHNO
431,Ethenedione,C2O2,O=C=C=O,4.063098,ATcT_v1.220,small_CHNO
432,Oxybismethanol,C2H6O3,OCOCO,-133.173996,ATcT_v1.220,small_CHNO
433,"1,3-Hexadiyne",C6H6,C#CC#CCC,94.058317,ATcT_v1.220,hydrocarbon
434,"1,3-Butadiyne",C4H2,C#CC#C,109.966539,ATcT_v1.220,hydrocarbon
435,Fluorobenzene,C6H5F,Fc1ccccc1,-26.701721,ATcT_v1.220,fluorinated
436,o-Benzyne,C6H4,c1ccccc#1,109.772945,ATcT_v1.220,hydrocarbon
437,Carbonyl sulfide,COS,O=C=S,-33.448853,ATcT_v1.220,sulfur
438,Isocyanamide,CH2N2,[C-]#[N+]N,77.10325,ATcT_v1.220,small_CHNO
439,"1,3-Pentadiyne",C5H4,C#CC#CC,98.938815,ATcT_v1.220,hydrocarbon
440,Diphenylacetylene,C14H10,C(#Cc1ccccc1)c1ccccc1,97.347036,ATcT_v1.220,hydrocarbon
441,Carbon suboxide,C3O2,O=C=C=C=O,-22.06262,ATcT_v1.220,small_CHNO
442,Cyanogen chloride,CClN,N#CCl,32.468929,ATcT_v1.220,chlorinated
