NAME,FORMULA,DHF,ID,,
Iminomethylimidogen cation,"[NCHN]+ (g, triplet)",1676.4,*150296-30-3*1,,
Trioxirane cation,[O(OO)]+ (g),1442.2,*153851-84-4*0,,
Oxirene anion,[O(CHCH)]- (g),285.2,*157-18-6*0,,
1H-Diazirene cation,[CH(NHN)]+ (g),1326.3,*157-23-3*0,,
Dioxirane anion,[CH2(OO)]- (g),-179.8,*157-26-6*0,,
Nitrosyl nitrate,"ON(O2)NO (g, perp)",62.4,*15969-55-8*0,,
Di-mu-hydrotrihydrodisilicon cation,[SiH2(HSiHH)]+ (g),1020.3,*160896-65-1*0,,
Propenediylidene anion,[CHCHC]- (g),590,*161054-36-0*0,,
Cyclopropenylidene anion,[C(CHCH)]- (g),543.8,*16165-40-5*0,,
Isocyanic fluoride cation,[FNC]+ (g),1618.6,*16992-26-0*0,,
Dioxofluorine anion,[OFO]- (g),154.4,*175861-93-5*0,,
Methyleneoxonium cation,[CH2OH2]+ (g),818.3,*177788-17-9*0,,
Bifluoride,"[FFH]- (g, triplet)",-67.6,*18130-74-0*1,,
Bifluoride,"[(HF)(F)]- (g, singlet)",-480.6,*18130-74-0*2,,
3-Methylcycloprop-3-en-2-ylium-1-yl,[CH3C(CHC)]+ (g),1277.5,*185841-59-2*0,,
Fluoroisoformyl,COF (g),-32.4,*1871-24-5*0,,
Fluoroisoformyl cation,[COF]+ (g),1349.5,*1871-25-6*0,,
Hydroxyoxoethenylium,[HOCCO]+ (g),865.2,*1994332-00-1*0,,
Dioxoethylium,[OCHCO]+ (g),689.8,*1994332-01-2*0,,
Trioxathietane,S(OOO) (g),258.5,*2243010-16-2*0,,
Oxadiazirine cation,[O(NN)]+ (g),1507.3,*227934-45-4*0,,
NON cation,[NON]+ (g),1444.2,*227934-46-5*0,,
NON anion,[NON]- (g),492.8,*227934-47-6*0,,
Oxazirinyl cation,[C(NO)]+ (g),1566.3,*228850-18-8*0,,
2-Aziridinyl,NH(CHCH2) (g),349.5,*23838-09-7*0,,
2-Aziridinyl,"NH(CHCH2) (g, syn)",348.8,*23838-09-7*1,,
2-Aziridinyl,"NH(CHCH2) (g, anti)",352.4,*23838-09-7*2,,
Isocyanogen bromide anion,[BrNC]- (g),101.9,*238754-53-5*0,,
H-CO2 vdW complex,"(H)(OCO) (g, vdW)",-177.5,*2564-83-2*100,,
CO-HO vdW complex,"(CO)(HO) (g, vdW)",-73.3,*2564-84-3*100,,
OH-CO vdW complex,"(OH)(CO) (g, vdW)",-76.78,*2564-85-4*100,,
Carbamoyl,HNCOH (g),68.3,*2858-51-7*0,,
Carbamoyl,"HNCOH (g, trans-trans)",67.7,*2858-51-7*1,,
Carbamoyl,"HNCOH (g, trans-cis)",69.9,*2858-51-7*2,,
Carbamoyl,"HNCOH (g, cis-trans)",90.1,*2858-51-7*3,,
Carbamoyl,"HNCOH (g, cis-cis)",104.8,*2858-51-7*4,,
